Minerds Bell Consultancy Group - Analysis of North FUA - 07-11-2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Product,MyNorth Investment,MyNorth Lifetime Income,MyNorth Pension,MyNorth Super,North Investment,North Personal Pension,North Personal Superannuation,Total,,
,,,,,,,,,,,
Cash / TDs,Investment ,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA $,% of total FUA
,Ishares Core Msci World EX Aus Esg (Aud Hed) Etf Ishares Core Msci Wor,,,,439.29,,,,439.29,,
,Ishares Core Msci World EX Australia Esg Etf Ishares Core Msci World E,,,,357.11,,,,357.11,,
,Ishares Core S&P/ASX 200 Etf Ishares Core S&P/ASX 200 Etf,,,,638.54,,,,638.54,,
,iShares International Equity Index Fund,,,,,,13367.42,,13367.42,,
,Ishares Msci Japan Etf Ishares Msci Japan Etf,,,,120.41,,,,120.41,,
,Ishares Msci South Korea Etf Ishares Msci South Korea Etf,,,,98.08,,,,98.08,,
,Ishares S&P Small-Cap Etf Ishares S&P Small-Cap Etf,,,,4303.25,,,,4303.25,,
,James Hardie Industries PLC Chess Depositary Interests 1:1,,,8077.52,3593.35,,,,11670.87,,
,Janus Henderson Diversified Credit Fund,5266.48,11830.86,248342.08,50725.88,,56429.18,,372594.48,,
,Janus Henderson Global Sustainable Equity Fund - Class I,,,,324.91,,,,324.91,,
,Janus Henderson Tactical Income Fund,,,12888.79,16165.17,,,,29053.96,,
,JB Hi-Fi Limited Ordinary Fully Paid,,,,924.7,,,,924.7,,
,Kapstream Absolute Return Income Fund,919378.56,15283.08,2782688.38,814567.48,68527.66,316595.88,27989.91,4945030.95,,
,Kapstream Absolute Return Income Fund - Class X,19580.16,,199969.89,139761.03,,,,359311.08,,
,Kogan.Com Ltd Ordinary Fully Paid,,,,10688.8,,,,10688.8,,
,Lazard Emerging Markets Fund ,9016.22,,12715.6,,69682.17,,,91413.99,,
,Lazard Global Infrastructure Fund (Hedged) - S Class,,,160722.4,190494.77,,,,351217.17,,
